First name;Sur name;Issue count;Date of birth
Constance;Konyn;4;2012-12-11T00:00:00
Ruthe;Denis;0;1920-07-11T00:00:00
Ulrike;Cloris;18;1913-05-29T00:00:00
Joane;Israeli;2;1905-01-01T00:00:00
Cyb;Bury;17;1906-03-02T00:00:00
Bernardine;Faria;9;1909-03-30T00:00:00
Harmonia;Honoria;3;1900-08-26T00:00:00
Courtnay;Lorain;14;1930-08-27T00:00:00
Claresta;Macey;3;2006-04-26T00:00:00
Ileana;Herrera;4;1913-04-17T00:00:00
Brana;Borrell;10;1998-04-21T00:00:00
Gaylene;Francene;7;1922-04-07T00:00:00
Karolina;Rona;16;1988-06-02T00:00:00
Belinda;Valoniah;20;2005-07-21T00:00:00
Rosabelle;Miru;13;1913-12-20T00:00:00
Dawn;Crudden;9;1992-06-14T00:00:00
Carmencita;Maurine;10;1952-07-08T00:00:00
Ardeen;Amadas;2;1966-08-09T00:00:00
Marline;Margret;0;1930-04-30T00:00:00
Selia;Beniamino;16;1928-11-02T00:00:00
Corene;Joni;0;1941-10-23T00:00:00
Aryn;Paine;6;1986-02-01T00:00:00
Robbi;Angelis;15;1924-03-14T00:00:00
Kary;Morgun;0;1996-10-12T00:00:00
Candi;Sothena;16;1929-06-15T00:00:00
Petronia;Isacco;12;1920-01-04T00:00:00
Beth;Suzetta;4;1942-12-05T00:00:00
Annora;Bandeen;4;1964-03-05T00:00:00
Cherrita;Schroth;11;1976-11-27T00:00:00
Fredericka;Keelia;13;1991-09-12T00:00:00
Blondelle;Lilybelle;5;2005-06-16T00:00:00
Georgetta;Audly;2;1924-03-05T00:00:00
Dotty;Torray;3;1957-08-11T00:00:00
Hope;Tound;6;1924-03-16T00:00:00
Agnese;Mich;1;1974-04-04T00:00:00
Queenie;Hashim;7;2012-04-10T00:00:00
Nikki;Pip;3;1998-03-29T00:00:00
Netty;Shanley;13;2009-10-24T00:00:00
Corina;Aloise;8;1916-07-11T00:00:00
Flory;Sparhawk;1;1914-02-12T00:00:00
Jenilee;Eldrid;9;1995-06-10T00:00:00
Bettine;Talia;17;1921-01-25T00:00:00
Madeleine;Lalitta;8;1953-03-12T00:00:00
Dode;Ashok;3;1926-11-29T00:00:00
Loree;Corilla;15;1911-04-08T00:00:00
Corene;Haldas;13;1957-11-17T00:00:00
Kalina;Love;0;2000-06-04T00:00:00
Valeda;Raseda;2;1915-11-29T00:00:00
Rosanne;Velick;9;1962-07-24T00:00:00
Alie;Anderea;12;1985-05-12T00:00:00
Susette;Sidonius;0;2005-08-14T00:00:00
Annora;Francyne;12;1916-02-22T00:00:00
Vita;Kaete;10;1932-08-22T00:00:00
Rosene;Brunell;12;1961-07-21T00:00:00
Rhoda;Rebecka;9;1974-01-12T00:00:00
Phedra;Pulsifer;14;1936-10-13T00:00:00
Marika;Duwalt;11;1984-09-03T00:00:00
Gerrie;Donell;13;1956-01-15T00:00:00
Gwenneth;Elvyn;5;1945-09-06T00:00:00
Sarette;Maiah;12;1947-08-25T00:00:00
Bernie;Toni;10;1960-09-11T00:00:00
Charmaine;McLaughlin;15;1987-04-24T00:00:00
Basia;Yate;0;1924-06-24T00:00:00
Sybille;Yusuk;11;1975-07-16T00:00:00
Odessa;Edee;0;1990-03-26T00:00:00
Donetta;Azeria;9;2013-01-23T00:00:00
Kirstin;Rustice;9;1986-11-13T00:00:00
Halette;Pip;12;1950-08-01T00:00:00
Lita;Mendez;8;1943-09-17T00:00:00
Aurore;Morrill;15;1909-02-08T00:00:00
Marinna;Connelly;13;1945-03-27T00:00:00
Aeriela;Teryn;9;1970-02-22T00:00:00
Tina;Kare;13;1983-11-03T00:00:00
Eve;Sprage;7;2003-02-02T00:00:00
Ada;O'Neill;13;1990-03-12T00:00:00
Yetty;Saree;5;2005-05-01T00:00:00
Alyda;Carolin;10;1943-09-05T00:00:00
Lenna;Dorine;4;1926-06-24T00:00:00
Katleen;Frodi;8;1940-09-17T00:00:00
Feliza;Terrence;6;2008-04-19T00:00:00
Roxane;Lea;0;1947-10-11T00:00:00
Elise;Weide;5;1921-02-17T00:00:00
Candy;Berl;9;1903-07-07T00:00:00
Wendi;Izaak;12;1931-08-03T00:00:00
Pamella;Cecile;19;2019-12-17T00:00:00
Cathyleen;Hull;0;1928-02-22T00:00:00
Tierney;Diogenes;14;2017-08-22T00:00:00
Leanna;Susannah;7;1987-12-27T00:00:00
Karlee;Ciro;0;1967-08-27T00:00:00
Lilith;Wooster;10;2007-12-05T00:00:00
Fawne;Iphlgenia;4;1911-12-06T00:00:00
Therine;Laurianne;11;1992-02-18T00:00:00
Theodora;Maples;3;1965-10-19T00:00:00
Kerrin;Jaylene;9;1973-10-28T00:00:00
Livvyy;Palocz;3;1947-02-12T00:00:00
Tressa;Destinee;15;1946-10-07T00:00:00
Cyndie;Markman;1;2013-12-28T00:00:00
Mathilda;Oscar;5;1999-04-10T00:00:00
Bernie;Kosey;14;1991-04-24T00:00:00
Rubie;Whittaker;0;1935-04-20T00:00:00
Elise;Solitta;11;1995-05-31T00:00:00
Sandie;Buttaro;11;1952-09-28T00:00:00
Chere;Ingra;18;1968-01-26T00:00:00
Caryl;Ehrman;13;1931-11-21T00:00:00
Sindee;Kylander;5;1929-09-03T00:00:00
Flory;Burnside;3;1930-07-19T00:00:00
Belva;Garlinda;0;1973-10-09T00:00:00
Kial;Berl;14;1955-03-18T00:00:00
Rivalee;Zetta;0;1905-04-17T00:00:00
Frieda;Peg;3;1922-09-28T00:00:00
Lisette;Roumell;0;1986-04-10T00:00:00
Fernande;Carey;14;1978-07-12T00:00:00
Gabi;Halsey;5;2002-03-01T00:00:00
Gilda;Yate;14;1909-02-27T00:00:00
Maye;Fontana;19;1908-03-29T00:00:00
Jennica;Modie;2;1959-01-05T00:00:00
Fidelia;Isacco;2;1975-01-10T00:00:00
Nita;Jammal;5;1981-06-21T00:00:00
Orelia;Jess;10;2019-05-16T00:00:00
Fred;Amethist;3;1947-11-28T00:00:00
Jennica;Kathie;0;1919-10-17T00:00:00
Hermione;Adore;18;1992-05-30T00:00:00
Sabina;Jagir;0;1932-01-07T00:00:00
Anica;Jagir;15;1980-03-13T00:00:00
Ilse;Gregrory;20;1994-10-30T00:00:00
Shandie;Evvie;5;2004-02-13T00:00:00
Vonny;Helve;13;2006-03-20T00:00:00
Rubie;HThison;17;2007-02-03T00:00:00
Raina;Presber;0;1961-06-21T00:00:00
Modestia;Zuzana;5;1933-02-04T00:00:00
Vevay;Zetta;0;2010-10-28T00:00:00
Hermione;Rheingold;0;1978-01-01T00:00:00
Bertine;Vilma;8;1946-12-09T00:00:00
Rani;Arley;8;1923-04-16T00:00:00
Florencia;Toffic;3;1920-09-26T00:00:00
Jerry;Gerge;13;2002-09-12T00:00:00
Charmaine;Israeli;11;2006-02-14T00:00:00
Evita;Parsaye;10;1961-01-25T00:00:00
Di;Sasnett;14;1929-05-01T00:00:00
Kaja;Ephrem;12;2011-11-20T00:00:00
Katuscha;Primalia;13;1922-12-27T00:00:00
Latisha;Auberbach;6;1951-07-11T00:00:00
Mahalia;Miru;13;1930-05-29T00:00:00
Marguerite;Sharl;0;1982-07-23T00:00:00
Candy;Alva;12;1982-01-23T00:00:00
Valeda;Xerxes;10;1977-05-10T00:00:00
Annabela;Anton;2;1904-04-19T00:00:00
Gianina;Laurianne;9;2019-06-03T00:00:00
Ileana;Tengdin;1;1966-12-10T00:00:00
Olwen;Redmond;16;1976-10-23T00:00:00
Desirae;Naashom;8;1979-03-11T00:00:00
Aubrie;Arquit;7;1904-12-06T00:00:00
Cathie;Ventre;16;1984-11-25T00:00:00
Tera;Friede;3;1924-11-20T00:00:00
Fanchon;Nedrud;7;1944-11-05T00:00:00
Ivett;Whittaker;18;2002-08-22T00:00:00
Melanie;Tillford;11;1922-12-22T00:00:00
Berget;Joseph;4;1922-04-24T00:00:00
Violet;Mandler;0;1994-10-05T00:00:00
Shaine;Angelis;13;1939-07-12T00:00:00
Lolita;Goode;9;1918-04-08T00:00:00
Audrie;Stacy;9;1926-08-03T00:00:00
Basia;Stephie;0;1919-11-05T00:00:00
Leona;Constancy;4;1939-11-10T00:00:00
Gratia;Francene;16;1953-04-14T00:00:00
Raquela;Codding;13;1987-06-05T00:00:00
Babita;Blase;5;1964-06-19T00:00:00
Gisela;Tremayne;14;1921-04-27T00:00:00
Jere;Ferino;5;1926-08-15T00:00:00
Leeanne;Koehler;0;1962-03-02T00:00:00
Charmaine;Madelene;11;1997-07-10T00:00:00
Natka;Riva;10;1926-01-05T00:00:00
Wanda;Libna;9;1930-12-31T00:00:00
Philis;Arvo;4;1920-02-28T00:00:00
Agnese;Hashim;5;2008-04-11T00:00:00
Madelle;Bivins;18;1959-05-19T00:00:00
Jan;Nea;18;1981-01-23T00:00:00
Fayre;Cullin;1;1937-03-25T00:00:00
Deloria;Alfons;5;1987-03-16T00:00:00
Tiffie;Cimbura;2;1903-05-06T00:00:00
Tani;Yorick;0;1966-08-18T00:00:00
Kalina;Morrill;6;1986-03-20T00:00:00
Lonnie;Elvyn;13;1990-03-10T00:00:00
Alameda;Shanley;6;1922-12-28T00:00:00
Heddie;Berl;8;1958-03-20T00:00:00
Kary;Laurianne;1;1903-04-09T00:00:00
Britte;Zaslow;5;1990-10-27T00:00:00
Lindie;Middleton;15;1964-09-03T00:00:00
Kaja;Alice;9;1922-12-15T00:00:00
Sharlene;Odell;0;1963-11-25T00:00:00
Zondra;Kress;16;1913-02-17T00:00:00
Daryl;Rooney;9;1921-07-10T00:00:00
Jaclyn;Jenness;12;1995-09-30T00:00:00
Bobbi;Pandolfi;13;1967-11-09T00:00:00
Hollie;Letsou;6;1956-01-10T00:00:00
Silvana;Madelene;2;1996-08-05T00:00:00
Ricky;Evvie;11;1971-04-13T00:00:00
Daryl;Manolo;7;2004-06-21T00:00:00
Noelle;McCTheon;13;1964-07-13T00:00:00
Livvyy;Sasnett;0;1981-05-22T00:00:00
Shannah;Keelia;9;1931-09-11T00:00:00
Jean;Berl;5;1998-05-15T00:00:00
Peri;Tufts;8;1934-05-30T00:00:00
Glynnis;Marijo;15;1959-08-22T00:00:00
Hettie;Sothena;14;1919-10-04T00:00:00
Kellen;Garrison;6;1955-11-02T00:00:00
Gerrie;Ulphia;14;1951-01-07T00:00:00
Lita;Waldron;13;2000-08-04T00:00:00
Tabbatha;Bates;12;2009-07-06T00:00:00
Clarice;Pip;8;1913-02-03T00:00:00
Agnese;Chabot;21;1911-09-16T00:00:00
Albertina;Norvol;1;1974-02-14T00:00:00
Kamilah;Kinnard;3;1955-04-09T00:00:00
Cordi;Sholley;17;1938-03-29T00:00:00
Ottilie;Havens;17;1914-02-11T00:00:00
Brooks;Jehu;10;1908-01-09T00:00:00
Margette;Kat;2;1970-06-01T00:00:00
Krystle;Ade;5;2004-05-02T00:00:00
Cam;Primalia;10;1944-08-16T00:00:00
Jacenta;Gherardo;22;1934-07-18T00:00:00
Sonni;Yuille;12;1954-01-19T00:00:00
Tracey;Kylander;0;1915-12-25T00:00:00
Sheelagh;Sawtelle;1;2004-03-21T00:00:00
Bettine;Bahr;10;1906-04-27T00:00:00
Dawn;Schalles;12;2015-03-05T00:00:00
Doro;Alarise;7;1971-02-19T00:00:00
Jaclyn;Papageno;14;1994-12-24T00:00:00
Dotty;Remmer;7;1955-12-24T00:00:00
Devina;Dearborn;9;1993-03-17T00:00:00
Valera;Gaspard;0;2012-01-10T00:00:00
Gui;Carolin;11;1974-10-09T00:00:00
Shannah;Wenda;9;1920-02-02T00:00:00
Ulrike;Shields;9;1988-04-12T00:00:00
Mahalia;Faro;0;1928-11-20T00:00:00
Lucy;Behre;7;1972-10-16T00:00:00
Karena;Marcellus;18;2014-08-24T00:00:00
Christal;Greenwald;4;1974-01-12T00:00:00
Vinita;Kirbee;17;1924-09-30T00:00:00
Valeda;Rese;15;1942-05-25T00:00:00
